category,true_count,predicted_count,tp,fp,fn,precision,recall,f1,false_positives,false_negatives
unknown_service,12,12,12,0,0,1.0,1.0,1.0,,
wrong_unit_basis,11,11,11,0,0,1.0,1.0,1.0,,
unit_price_mismatch,10,10,10,0,0,1.0,1.0,1.0,,
line_total_arithmetic,6,6,6,0,0,1.0,1.0,1.0,,
invoice_total_mismatch,6,6,6,0,0,1.0,1.0,1.0,,
malformed_service_date,6,6,6,0,0,1.0,1.0,1.0,,
premium_incorrectly_applied,6,6,6,0,0,1.0,1.0,1.0,,
service_date_after_invoice_date,5,5,5,0,0,1.0,1.0,1.0,,
bundle_not_applied,5,5,5,0,0,1.0,1.0,1.0,,
duplicate_invoice_id,5,5,5,0,0,1.0,1.0,1.0,,
contract_number_mismatch,5,5,5,0,0,1.0,1.0,1.0,,
service_date_out_of_window,5,5,5,0,0,1.0,1.0,1.0,,
daily_cap_exceeded,4,4,4,0,0,1.0,1.0,1.0,,
volume_discount_incorrectly_applied,4,4,4,0,0,1.0,1.0,1.0,,
exclusion_window_violation,4,4,4,0,0,1.0,1.0,1.0,,
cross_invoice_duplicate,4,4,4,0,0,1.0,1.0,1.0,,
volume_discount_omitted,4,4,4,0,0,1.0,1.0,1.0,,
premium_omitted,3,3,3,0,0,1.0,1.0,1.0,,
